metric,label,count,usage_count,percentage
oracle_support_status,Supported,66,100,100.0
feature_type,command,13,34,34.0
feature_type,expression,15,19,19.0
feature_type,operator,22,24,24.0
feature_type,stage,16,23,23.0
command_name,aggregate,38,52,52.0
command_name,count,1,1,1.0
command_name,createIndexes,1,1,1.0
command_name,delete,1,1,1.0
command_name,distinct,1,1,1.0
command_name,dropIndexes,1,1,1.0
command_name,find,19,37,37.0
command_name,insert,1,1,1.0
command_name,listIndexes,1,1,1.0
command_name,update,2,4,4.0
