metric,label,count,usage_count,percentage
oracle_support_status,Supported,66,89,100.0
feature_type,command,13,23,25.84
feature_type,expression,15,19,21.35
feature_type,operator,22,24,26.97
feature_type,stage,16,23,25.84
command_name,aggregate,38,52,58.43
command_name,count,1,1,1.12
command_name,createIndexes,1,1,1.12
command_name,delete,1,1,1.12
command_name,distinct,1,1,1.12
command_name,dropIndexes,1,1,1.12
command_name,find,19,26,29.21
command_name,insert,1,1,1.12
command_name,listIndexes,1,1,1.12
command_name,update,2,4,4.49
