metric,label,count,usage_count,percentage
oracle_support_status,Supported,66,93,100.0
feature_type,command,13,27,29.03
feature_type,expression,15,19,20.43
feature_type,operator,22,24,25.81
feature_type,stage,16,23,24.73
command_name,aggregate,38,52,55.91
command_name,count,1,1,1.08
command_name,createIndexes,1,1,1.08
command_name,delete,1,1,1.08
command_name,distinct,1,1,1.08
command_name,dropIndexes,1,1,1.08
command_name,find,19,30,32.26
command_name,insert,1,1,1.08
command_name,listIndexes,1,1,1.08
command_name,update,2,4,4.3
