metric,label,count,usage_count,percentage
oracle_support_status,Supported,66,109,100.0
feature_type,command,13,43,39.45
feature_type,expression,15,19,17.43
feature_type,operator,22,24,22.02
feature_type,stage,16,23,21.1
command_name,aggregate,38,52,47.71
command_name,count,1,1,0.92
command_name,createIndexes,1,1,0.92
command_name,delete,1,1,0.92
command_name,distinct,1,1,0.92
command_name,dropIndexes,1,1,0.92
command_name,find,19,46,42.2
command_name,insert,1,1,0.92
command_name,listIndexes,1,1,0.92
command_name,update,2,4,3.67
