metric,label,count,usage_count,percentage
oracle_support_status,Supported,66,107,100.0
feature_type,command,13,41,38.32
feature_type,expression,15,19,17.76
feature_type,operator,22,24,22.43
feature_type,stage,16,23,21.5
command_name,aggregate,38,52,48.6
command_name,count,1,1,0.93
command_name,createIndexes,1,1,0.93
command_name,delete,1,1,0.93
command_name,distinct,1,1,0.93
command_name,dropIndexes,1,1,0.93
command_name,find,19,44,41.12
command_name,insert,1,1,0.93
command_name,listIndexes,1,1,0.93
command_name,update,2,4,3.74
