metric,label,count,usage_count,percentage
oracle_support_status,Supported,66,102,100.0
feature_type,command,13,36,35.29
feature_type,expression,15,19,18.63
feature_type,operator,22,24,23.53
feature_type,stage,16,23,22.55
command_name,aggregate,38,52,50.98
command_name,count,1,1,0.98
command_name,createIndexes,1,1,0.98
command_name,delete,1,1,0.98
command_name,distinct,1,1,0.98
command_name,dropIndexes,1,1,0.98
command_name,find,19,39,38.24
command_name,insert,1,1,0.98
command_name,listIndexes,1,1,0.98
command_name,update,2,4,3.92
