metric,label,count,usage_count,percentage
oracle_support_status,Not Supported,2,2,3.03
oracle_support_status,Supported,64,86,96.97
feature_type,command,13,22,25.0
feature_type,expression,15,19,21.59
feature_type,operator,22,24,27.27
feature_type,stage,16,23,26.14
command_name,aggregate,38,52,59.09
command_name,count,1,1,1.14
command_name,createIndexes,1,1,1.14
command_name,delete,1,1,1.14
command_name,distinct,1,1,1.14
command_name,dropIndexes,1,1,1.14
command_name,find,19,25,28.41
command_name,insert,1,1,1.14
command_name,listIndexes,1,1,1.14
command_name,update,2,4,4.55
