metric,label,count,usage_count,percentage
oracle_support_status,Supported,66,96,100.0
feature_type,command,13,30,31.25
feature_type,expression,15,19,19.79
feature_type,operator,22,24,25.0
feature_type,stage,16,23,23.96
command_name,aggregate,38,52,54.17
command_name,count,1,1,1.04
command_name,createIndexes,1,1,1.04
command_name,delete,1,1,1.04
command_name,distinct,1,1,1.04
command_name,dropIndexes,1,1,1.04
command_name,find,19,33,34.38
command_name,insert,1,1,1.04
command_name,listIndexes,1,1,1.04
command_name,update,2,4,4.17
