metric,label,count,usage_count,percentage
oracle_support_status,Supported,66,105,100.0
feature_type,command,13,39,37.14
feature_type,expression,15,19,18.1
feature_type,operator,22,24,22.86
feature_type,stage,16,23,21.9
command_name,aggregate,38,52,49.52
command_name,count,1,1,0.95
command_name,createIndexes,1,1,0.95
command_name,delete,1,1,0.95
command_name,distinct,1,1,0.95
command_name,dropIndexes,1,1,0.95
command_name,find,19,42,40.0
command_name,insert,1,1,0.95
command_name,listIndexes,1,1,0.95
command_name,update,2,4,3.81
