metric,label,count,usage_count,percentage
oracle_support_status,Not Supported,2,2,3.03
oracle_support_status,Supported,64,85,96.97
feature_type,command,13,21,24.14
feature_type,expression,15,19,21.84
feature_type,operator,22,24,27.59
feature_type,stage,16,23,26.44
command_name,aggregate,38,52,59.77
command_name,count,1,1,1.15
command_name,createIndexes,1,1,1.15
command_name,delete,1,1,1.15
command_name,distinct,1,1,1.15
command_name,dropIndexes,1,1,1.15
command_name,find,19,24,27.59
command_name,insert,1,1,1.15
command_name,listIndexes,1,1,1.15
command_name,update,2,4,4.6
