metric,label,count,usage_count,percentage
oracle_support_status,Supported,66,97,100.0
feature_type,command,13,31,31.96
feature_type,expression,15,19,19.59
feature_type,operator,22,24,24.74
feature_type,stage,16,23,23.71
command_name,aggregate,38,52,53.61
command_name,count,1,1,1.03
command_name,createIndexes,1,1,1.03
command_name,delete,1,1,1.03
command_name,distinct,1,1,1.03
command_name,dropIndexes,1,1,1.03
command_name,find,19,34,35.05
command_name,insert,1,1,1.03
command_name,listIndexes,1,1,1.03
command_name,update,2,4,4.12
