metric,label,count,usage_count,percentage
oracle_support_status,Supported,66,90,100.0
feature_type,command,13,24,26.67
feature_type,expression,15,19,21.11
feature_type,operator,22,24,26.67
feature_type,stage,16,23,25.56
command_name,aggregate,38,52,57.78
command_name,count,1,1,1.11
command_name,createIndexes,1,1,1.11
command_name,delete,1,1,1.11
command_name,distinct,1,1,1.11
command_name,dropIndexes,1,1,1.11
command_name,find,19,27,30.0
command_name,insert,1,1,1.11
command_name,listIndexes,1,1,1.11
command_name,update,2,4,4.44
