metric,label,count,usage_count,percentage
oracle_support_status,Not Supported,2,2,3.23
oracle_support_status,Supported,60,84,96.77
feature_type,command,12,20,23.26
feature_type,expression,15,19,22.09
feature_type,operator,21,24,27.91
feature_type,stage,14,23,26.74
command_name,aggregate,34,52,60.47
command_name,count,1,1,1.16
command_name,createIndexes,1,1,1.16
command_name,delete,1,1,1.16
command_name,distinct,1,1,1.16
command_name,dropIndexes,1,1,1.16
command_name,find,19,23,26.74
command_name,insert,1,1,1.16
command_name,listIndexes,1,1,1.16
command_name,update,2,4,4.65
