metric,label,count,usage_count,percentage
oracle_support_status,Supported,66,91,100.0
feature_type,command,13,25,27.47
feature_type,expression,15,19,20.88
feature_type,operator,22,24,26.37
feature_type,stage,16,23,25.27
command_name,aggregate,38,52,57.14
command_name,count,1,1,1.1
command_name,createIndexes,1,1,1.1
command_name,delete,1,1,1.1
command_name,distinct,1,1,1.1
command_name,dropIndexes,1,1,1.1
command_name,find,19,28,30.77
command_name,insert,1,1,1.1
command_name,listIndexes,1,1,1.1
command_name,update,2,4,4.4
