metric,label,count,usage_count,percentage
oracle_support_status,Supported,66,99,100.0
feature_type,command,13,33,33.33
feature_type,expression,15,19,19.19
feature_type,operator,22,24,24.24
feature_type,stage,16,23,23.23
command_name,aggregate,38,52,52.53
command_name,count,1,1,1.01
command_name,createIndexes,1,1,1.01
command_name,delete,1,1,1.01
command_name,distinct,1,1,1.01
command_name,dropIndexes,1,1,1.01
command_name,find,19,36,36.36
command_name,insert,1,1,1.01
command_name,listIndexes,1,1,1.01
command_name,update,2,4,4.04
