metric,label,count,usage_count,percentage
oracle_support_status,Supported,66,103,100.0
feature_type,command,13,37,35.92
feature_type,expression,15,19,18.45
feature_type,operator,22,24,23.3
feature_type,stage,16,23,22.33
command_name,aggregate,38,52,50.49
command_name,count,1,1,0.97
command_name,createIndexes,1,1,0.97
command_name,delete,1,1,0.97
command_name,distinct,1,1,0.97
command_name,dropIndexes,1,1,0.97
command_name,find,19,40,38.83
command_name,insert,1,1,0.97
command_name,listIndexes,1,1,0.97
command_name,update,2,4,3.88
