metric,label,count,usage_count,percentage
oracle_support_status,Supported,66,106,100.0
feature_type,command,13,40,37.74
feature_type,expression,15,19,17.92
feature_type,operator,22,24,22.64
feature_type,stage,16,23,21.7
command_name,aggregate,38,52,49.06
command_name,count,1,1,0.94
command_name,createIndexes,1,1,0.94
command_name,delete,1,1,0.94
command_name,distinct,1,1,0.94
command_name,dropIndexes,1,1,0.94
command_name,find,19,43,40.57
command_name,insert,1,1,0.94
command_name,listIndexes,1,1,0.94
command_name,update,2,4,3.77
